iter	Passed	Remaining
0	2142	1711752
1	4167	1662878
2	6203	1648093
3	8269	1645598
4	10358	1646943
5	12333	1632198
6	14443	1636257
7	16578	1641246
8	18650	1639145
9	20724	1637223
10	22814	1636397
11	24894	1634766
12	27016	1635555
13	29123	1635089
14	31189	1632242
15	33209	1627257
16	35273	1624645
17	37344	1622418
18	39404	1619752
19	41518	1619225
20	43589	1616966
21	45720	1616836
22	47710	1611780
23	49821	1610902
24	51936	1610034
25	54019	1608116
26	56116	1606601
27	58176	1604012
28	60314	1603536
29	62359	1600572
30	64432	1598353
31	66517	1596410
32	68603	1594522
33	70668	1592120
34	72744	1589976
35	74837	1588216
36	76880	1585404
37	79012	1584403
38	81149	1583448
39	83208	1580957
40	85394	1580835
41	87524	1579609
42	89592	1577248
43	91621	1574225
44	93688	1571892
45	95709	1568811
46	97824	1567280
47	99844	1564223
48	101878	1561438
49	104077	1561162
50	106225	1560054
51	108260	1557285
52	110307	1554706
53	112420	1553067
54	114464	1550479
55	116639	1549636
56	118743	1547832
57	120826	1545741
58	122940	1544053
59	125075	1542594
60	127161	1540532
61	129202	1537926
62	131344	1536524
63	133422	1534357
64	135522	1532447
65	137642	1530754
66	139673	1528074
67	141756	1525962
68	143876	1524259
69	145927	1521813
70	148033	1519952
71	150069	1517370
72	152189	1515639
73	154323	1514041
74	156421	1512072
75	158418	1509148
76	160476	1506813
77	162559	1504718
78	164643	1502629
79	166749	1500744
80	168862	1498911
81	170962	1496960
82	173013	1494589
83	175127	1492750
84	177193	1490509
85	179308	1488678
86	181391	1486574
87	183493	1484630
88	185585	1482601
89	187609	1480029
90	189684	1477873
91	191767	1475775
92	193873	1473857
93	195930	1471566
94	198022	1469534
95	200070	1467182
96	202182	1465304
97	204212	1462829
98	206323	1460936
99	208437	1459061
100	210506	1456871
101	212591	1454793
102	214720	1453014
103	216796	1450870
104	218843	1448535
105	220927	1446449
106	222987	1444207
107	225072	1442129
108	227207	1440370
109	229276	1438187
110	231387	1436269
111	233440	1433992
112	235615	1432461
113	237746	1430649
114	239908	1429022
115	241977	1426831
116	244068	1424775
117	246240	1423184
118	248375	1421373
119	250444	1419184
120	252519	1417032
121	254628	1415067
122	256677	1412771
123	258697	1410321
124	260793	1408283
125	262851	1406046
126	264985	1404215
127	267072	1402128
128	269214	1400334
129	271320	1398346
130	273421	1396326
131	275513	1394264
132	277578	1392067
133	279711	1390210
134	281781	1388034
135	283869	1385951
136	285984	1383996
137	288100	1382049
138	290196	1379997
139	292259	1377797
140	294327	1375616
141	296566	1374230
142	298641	1372078
143	300751	1370091
144	302871	1368145
145	305000	1366235
146	307096	1364178
147	309223	1362253
148	311340	1360285
149	313331	1357770
150	315388	1355543
151	317512	1353606
152	319563	1351357
153	321582	1348977
154	323602	1346604
155	325748	1344756
156	327851	1342730
157	329929	1340598
158	331980	1338359
159	334078	1336313
160	336136	1334107
161	338214	1331980
162	340305	1329905
163	342428	1327954
164	344596	1326176
165	346658	1323986
166	348741	1321876
167	350939	1320202
168	352989	1317968
169	355175	1316239
170	357328	1314384
171	359408	1312259
172	361445	1309978
173	363510	1307801
174	365676	1305986
175	367811	1304058
176	369862	1301833
177	371965	1299789
178	374060	1297719
179	376193	1295776
180	378359	1293948
181	380469	1291925
182	382604	1289984
183	384711	1287947
184	386787	1285806
185	388825	1283541
186	390866	1281290
187	392922	1279088
188	394993	1276937
189	397073	1274814
190	399153	1272694
191	401241	1270598
192	403383	1268671
193	405463	1266550
194	407498	1264290
195	409601	1262240
196	411754	1260344
197	413820	1258182
198	415947	1256204
199	418054	1254163
200	420175	1252163
201	422189	1249847
202	424292	1247796
203	426346	1245601
204	428402	1243411
205	430425	1241129
206	432519	1239053
207	434585	1236897
208	436644	1234720
209	438721	1232597
210	440769	1230393
211	442901	1228424
212	444950	1226226
213	447035	1224124
214	449110	1221999
215	451232	1219999
216	453373	1218050
217	455446	1215917
218	457529	1213810
219	459587	1211639
220	461640	1209456
221	463752	1207428
222	465809	1205256
223	467905	1203184
224	469960	1201010
225	472079	1198998
226	474226	1197056
227	476336	1195020
228	478452	1192997
229	480554	1190939
230	482664	1188901
231	484808	1186944
232	486913	1184892
233	488927	1182619
234	490959	1180391
235	493079	1178377
236	495109	1176146
237	497153	1173950
238	499197	1171756
239	501301	1169704
240	503381	1167593
241	505491	1165553
242	507546	1163388
243	509681	1161405
244	511734	1159234
245	513792	1157078
246	515891	1155011
247	517988	1152942
248	520097	1150898
249	522199	1148838
250	524228	1146619
251	526292	1144477
252	528380	1142387
253	530492	1140350
254	532570	1138238
255	534679	1136193
256	536896	1134377
257	538966	1132246
258	541032	1130109
259	543081	1127939
260	545217	1125947
261	547352	1123952
262	549481	1121945
263	551511	1119734
264	553611	1117669
265	555732	1115643
266	557801	1113514
267	559953	1111548
268	562076	1109526
269	564172	1107449
270	566249	1105334
271	568308	1103186
272	570401	1101103
273	572493	1099021
274	574566	1096900
275	576621	1094744
276	578729	1092691
277	580741	1090457
278	582820	1088349
279	584939	1086315
280	586997	1084169
281	589102	1082109
282	591215	1080064
283	593307	1077980
284	595393	1075886
285	597440	1073721
286	599505	1071589
287	601584	1069483
288	603668	1067385
289	605734	1065257
